"target_construct","predictor","reference","term","beta","se","z","p","ci_lb","ci_ub","P_adj_fdr","P_adj_holm","code","Label"
"construct_a","contact_count",NA,"intrcpt",0.3278199258552,0.0571073470917226,5.74041594558182,9.44442892773201e-09,0.215891582302796,0.439748269407605,2.361107231933e-08,6.61110024941241e-08,"intrcpt","contact_count: intrcpt"
"construct_a","contact_count",NA,"contact_count",0.00322907173630432,0.00775864404204383,0.41619021555907,0.677270818905524,-0.0119775911549679,0.0184357346275765,0.713664159489457,1,"","contact_count: contact_count"
"construct_a","contact_duration_band","Long sessions","intrcpt",0.395796870808328,0.0407768521424057,9.70641062301915,2.83132380750327e-22,0.315875709206298,0.475718032410358,2.83132380750327e-21,2.83132380750327e-21,"intrcpt","contact_duration_band: intrcpt"
"construct_a","contact_duration_band","Long sessions","Medium sessions",-0.0743749123308309,0.0623973656474536,-1.19195596735687,0.233278511181544,-0.196671501730017,0.0479216770683549,0.333255015973634,0.933114044726174,"medium","contact_duration_band: Medium sessions"
"construct_a","contact_duration_band","Long sessions","Short sessions",-0.0929060858874204,0.0671432129681864,-1.38370032919695,0.16645023273368,-0.224504365111368,0.0386921933365276,0.277417054556134,0.832251163668401,"short","contact_duration_band: Short sessions"
"construct_a","intensity_band","High intensity","intrcpt",0.426925955803113,0.0467506577391064,9.13197752608289,6.72592810127568e-20,0.335296350380905,0.51855556122532,3.36296405063784e-19,6.05333529114812e-19,"intrcpt","intensity_band: intrcpt"
"construct_a","intensity_band","High intensity","Low intensity",-0.0641607174701198,0.061395183928536,-1.04504479610001,0.296002266207915,-0.184493066794263,0.0561716318540231,0.370002832759894,0.933114044726174,"low","intensity_band: Low intensity"
"construct_a","intensity_band","High intensity","Moderate intensity",-0.18190834174403,0.0670086307119787,-2.71470017833854,0.00663357963576274,-0.313242844592853,-0.0505738388952069,0.0132671592715255,0.0398014778145764,"moderate","intensity_band: Moderate intensity"
"construct_a","measurement_stage",NA,"intrcpt",0.334568785566404,0.0472469620146597,7.08127615618111,1.42832941471406e-12,0.241966441638739,0.427171129494069,4.76109804904687e-12,1.14266353177125e-11,"intrcpt","measurement_stage: intrcpt"
"construct_a","measurement_stage",NA,"measurement_stage",0.00660768309481186,0.0180075554777604,0.366939482872756,0.713664159489457,-0.0286864770912054,0.0419018432808292,0.713664159489457,1,"","measurement_stage: measurement_stage"
"construct_b","contact_count",NA,"intrcpt",0.107806332807577,0.0535458812355771,2.01334501029648,0.0440783462872938,0.00285833406538705,0.212754331549768,0.0881566925745876,0.264470077723763,"intrcpt","contact_count: intrcpt"
"construct_b","contact_count",NA,"contact_count",0.0121531247637128,0.00705721242574499,1.72208572316426,0.085053990943457,-0.0016787574219959,0.0259850069494216,0.112671495121928,0.374946234613406,"","contact_count: contact_count"
