"target_construct","predictor","Q_mod","Q_df","Q_mod_p","P_adj_fdr","P_adj_holm"
"construct_a","ci_lower",0.298588759721535,1,0.584768497171869,0.878730854924913,1
"construct_a","ci_upper",0.383921191390593,1,0.535512116136476,0.878730854924913,1
"construct_a","cohort_type",0.144598090042368,2,0.930252666783332,0.941583447891417,1
"construct_a","contact_count",1.15319138741305,1,0.282882075670322,0.811481009887419,1
"construct_a","contact_duration_band",0.749557034438296,2,0.687441518390291,0.878730854924913,1
"construct_a","exposure_window",0.938053216050062,2,0.625610936663384,0.878730854924913,1
"construct_a","group_a_mean",38.1610817393495,1,6.51387454989239e-10,4.55971218492467e-09,1.23763616447955e-08
"construct_a","group_a_n",1.16254967460798,1,0.280937387329801,0.811481009887419,1
"construct_a","group_a_sd",0.00536993237567818,1,0.941583447891417,0.941583447891417,1
"construct_a","group_b_mean",41.2573007743465,1,1.33452465345869e-10,1.40125088613162e-09,2.66904930691737e-09
"construct_a","group_b_n",0.0819357366653119,1,0.774691099811828,0.878730854924913,1
"construct_a","group_b_sd",1.03436513793517,1,0.309135622814255,0.811481009887419,1
"construct_a","group_balance_metric",197.352263165444,56,1.22712211244273e-17,2.57695643612973e-16,2.57695643612973e-16
"construct_a","implementation_agent",1.20238043395245,2,0.548158819741616,0.878730854924913,1
"construct_a","implementation_context",0.46208396238974,2,0.793706144603485,0.878730854924913,1
"construct_a","intensity_band",0.458720162731521,2,0.795042202074921,0.878730854924913,1
"construct_a","measurement_stage",3.04518311488201,1,0.0809769831627457,0.425129161604415,1
"construct_a","onset_band",1.28968614587613,2,0.524744882318368,0.878730854924913,1
"construct_a","pub_year",0.736957229448089,1,0.39063733281581,0.878730854924913,1
"construct_a","reporting_flag",0.101771240834606,1,0.74971434124071,0.878730854924913,1
"construct_a","study_weight",1.54677062828275,1,0.21361281749896,0.811481009887419,1
"construct_b","ci_lower",0.460239520636534,1,0.497512054173528,0.74687062537121,1
"construct_b","ci_upper",0.311343490046846,1,0.576856934007079,0.757124725884291,1
"construct_b","cohort_type",1.13728036211552,2,0.566294973999157,0.757124725884291,1
"construct_b","contact_count",0.101772638278543,1,0.749712680388694,0.828629804640136,1
"construct_b","contact_duration_band",5.81457716381877,2,0.054623636776774,0.286774093078064,0.983225461981933
"construct_b","exposure_window",3.07770203607115,2,0.214627563008873,0.740816164309727,1
"construct_b","group_a_mean",48.0417620966403,1,4.17236939554881e-12,8.76197573065251e-11,8.76197573065251e-11
"construct_b","group_a_n",0.620853761099181,1,0.430730199878474,0.74687062537121,1
"construct_b","group_a_sd",0.242299546957348,1,0.622550171827887,0.769032565199154,1
"construct_b","group_b_mean",30.6740577426217,1,3.05218640639491e-08,2.13653048447644e-07,5.79915417215034e-07
"construct_b","group_b_n",2.90274769687682,1,0.0884287003327814,0.371400541397682,1
"construct_b","group_b_sd",0.0472881116202953,1,0.827851202291595,0.869243762406175,1
"construct_b","group_balance_metric",161.054918925577,62,9.54239930362829e-11,1.00195192688097e-09,1.90847986072566e-09
"construct_b","implementation_agent",2.79723012896761,2,0.246938721436576,0.740816164309727,1
"construct_b","implementation_context",1.3946568184623,2,0.497913750247473,0.74687062537121,1
"construct_b","intensity_band",1.56668003255664,2,0.456877481843012,0.74687062537121,1
"construct_b","measurement_stage",0.018604522625042,1,0.891506341073949,0.891506341073949,1
"construct_b","onset_band",1.74195976505283,2,0.418541227011744,0.74687062537121,1
"construct_b","pub_year",0.134481468315164,1,0.713830012435764,0.828629804640136,1
"construct_b","reporting_flag",0.707989317243791,1,0.4001121190069,0.74687062537121,1
"construct_b","study_weight",0.699003903990964,1,0.40311859947396,0.74687062537121,1
"construct_c","ci_lower",0.346575590104979,1,0.556058036073917,0.873805485259012,1
"construct_c","ci_upper",0.0260049992565276,1,0.871888109397402,0.989551062121778,1
"construct_c","cohort_type",2.54441710017953,2,0.280212075476243,0.749235886218208,1
"construct_c","contact_count",1.64510633483105,1,0.19962629594841,0.667578001609463,1
"construct_c","contact_duration_band",0.450672179683082,2,0.798247890663645,0.989551062121778,1
"construct_c","exposure_window",0.286797097983157,2,0.866408693764411,0.989551062121778,1
"construct_c","group_a_mean",71.4850370550784,1,2.79368676766881e-17,6.14611088887138e-16,6.14611088887138e-16
"construct_c","group_a_n",0.46983203700562,1,0.493064449518993,0.83441676072445,1
"construct_c","group_a_sd",0.624211681171456,1,0.429486491169145,0.787391900476766,1
"construct_c","group_b_mean",61.7608839546668,1,3.87802044543708e-15,4.26582248998079e-14,8.14384293541786e-14
"construct_c","group_b_n",0.0691559627311454,1,0.792569683935478,0.989551062121778,1
"construct_c","group_b_sd",2.15945183955342,1,0.141695230839986,0.623459015695938,1
"construct_c","group_balance_metric",45.6877870545044,64,0.95948936323751,0.989551062121778,1
"construct_c","implementation_agent",3.91502207494772,2,0.141209448918759,0.623459015695938,1
"construct_c","implementation_context",2.36503857239564,2,0.30650558981654,0.749235886218208,1
"construct_c","intensity_band",3.09846268698828,2,0.212411182330284,0.667578001609463,1
"construct_c","measurement_stage",0.714742444519963,1,0.397873916611494,0.787391900476766,1
"construct_c","onset_band",0.0210078226151224,2,0.989551062121778,0.989551062121778,1
"construct_c","pub_year",0.822838613572527,1,0.364351527081629,0.787391900476766,1
"construct_c","reporting_flag",0.00626898275039869,1,0.936891911716113,0.989551062121778,1
"construct_c","source_id",191.573296376564,64,1.18189245067401e-14,8.66721130494277e-14,2.36378490134803e-13
"construct_c","study_weight",0.227479798143004,1,0.633398849420854,0.928984979150586,1
