"target_construct","predictor","reference","term","beta","se","z","p","ci_lb","ci_ub","P_adj_fdr","P_adj_holm","code","Label"
"construct_a","ci_lower",NA,"intrcpt",0.625167330375881,0.506203568980457,1.23501170020399,0.216826149703158,-0.366973433671451,1.61730809442321,0.512498172025646,1,"intrcpt","ci_lower: intrcpt"
"construct_a","ci_lower",NA,"ci_lower",0.564283174525279,1.03266717742812,0.546432758646052,0.584768497171869,-1.45970730125047,2.58827365030103,0.753245073471559,1,"","ci_lower: ci_lower"
"construct_a","ci_upper",NA,"intrcpt",0.0773355615261742,0.843528671608095,0.091681011125256,0.926951484768721,-1.57595025475261,1.73062137780495,0.954484697187594,1,"intrcpt","ci_upper: intrcpt"
"construct_a","ci_upper",NA,"ci_upper",0.71290315890093,1.15056059705166,0.619613743706991,0.535512116136476,-1.54215417335123,2.96796049115309,0.714016154848635,1,"","ci_upper: ci_upper"
"construct_a","cohort_type",NA,"intrcpt",0.569876313631192,0.875450587235479,0.650952003391491,0.51507747036541,-1.14597530759479,2.28572793485717,0.714016154848635,1,"intrcpt","cohort_type: intrcpt"
"construct_a","cohort_type",NA,"cohort_typecohort_b",-0.271116359158628,1.15823740465809,-0.234076673804765,0.814925454531939,-2.54121995783562,1.99898723951837,0.892128918645491,1,"cohort_b","cohort_type: cohort_typecohort_b"
"construct_a","cohort_type",NA,"cohort_typecohort_c",0.142668885887194,1.19321927936714,0.119566359976067,0.90482666935091,-2.19599792733124,2.48133569910562,0.94953493121324,1,"cohort_c","cohort_type: cohort_typecohort_c"
"construct_a","contact_count",NA,"intrcpt",1.32090683528818,0.881173597274018,1.49903133658851,0.133865502790136,-0.406161679496497,3.04797535007286,0.348050307254354,1,"intrcpt","contact_count: intrcpt"
"construct_a","contact_count",NA,"contact_count",-0.148161472831923,0.137969976860197,-1.07386749062119,0.282882075670322,-0.418577658425734,0.122254712761887,0.565764151340643,1,"","contact_count: contact_count"
"construct_a","contact_duration_band",NA,"intrcpt",1.08345009467911,0.896493727370172,1.20854174613956,0.226838948272063,-0.673645323332495,2.84054551269072,0.521730648348705,1,"intrcpt","contact_duration_band: intrcpt"
"construct_a","contact_duration_band",NA,"contact_duration_bandextended",-1.06835689353765,1.23415491317754,-0.865658664184209,0.386677374453956,-3.48725607470879,1.35054228763349,0.615549736558245,1,"extended","contact_duration_band: contact_duration_bandextended"
"construct_a","contact_duration_band",NA,"contact_duration_bandmoderate",-0.576773202025925,1.14436487122761,-0.504011628220634,0.614253205645112,-2.81968713480486,1.66614073075301,0.770814180027812,1,"moderate","contact_duration_band: contact_duration_bandmoderate"
"construct_a","exposure_window",NA,"intrcpt",0.257993997227535,0.869907517455359,0.296576350992133,0.766789968124388,-1.44699340686562,1.96298140132069,0.875737765004675,1,"intrcpt","exposure_window: intrcpt"
"construct_a","exposure_window",NA,"exposure_windowwindow_b",1.06177144822008,1.29032518887116,0.822871209039149,0.410581236798835,-1.46721945031224,3.5907623467524,0.623283957627293,1,"window_b","exposure_window: exposure_windowwindow_b"
